unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1547683200,2019-01-17,XRP/USD,0.3332,0.3354,0.3282,0.334,226509.8275,75654.28239
1547596800,2019-01-16,XRP/USD,0.3304,0.3407,0.3301,0.3322,435899.3071,144805.7498
1547510400,2019-01-15,XRP/USD,0.3395,0.3413,0.3263,0.3309,284611.399,94177.91192
1547424000,2019-01-14,XRP/USD,0.3224,0.3445,0.32,0.3388,711863.628,241179.3972
1547337600,2019-01-13,XRP/USD,0.3378,0.3414,0.3185,0.322,448901.2442,144546.2006
1547251200,2019-01-12,XRP/USD,0.3385,0.3422,0.3333,0.3377,196928.4508,66502.73783
1547164800,2019-01-11,XRP/USD,0.3359,0.3444,0.3301,0.3368,481951.1377,162321.1432
1547078400,2019-01-10,XRP/USD,0.3725,0.387,0.329,0.3386,1471977.394,498411.5456
1546992000,2019-01-09,XRP/USD,0.3685,0.375,0.365,0.3698,436070.9336,161259.0312
1546905600,2019-01-08,XRP/USD,0.3668,0.373,0.3618,0.3684,462050.5781,170219.433
1546819200,2019-01-07,XRP/USD,0.3695,0.3768,0.3632,0.3665,476199.3547,174527.0635
1546732800,2019-01-06,XRP/USD,0.3577,0.3729,0.3542,0.3695,538824.7674,199095.7515
1546646400,2019-01-05,XRP/USD,0.3615,0.368,0.3523,0.3582,367517.5968,131644.8032
1546560000,2019-01-04,XRP/USD,0.3641,0.3679,0.355,0.3635,523591.1941,190325.399
1546473600,2019-01-03,XRP/USD,0.3774,0.379,0.36,0.3642,515117.1641,187605.6712
1546387200,2019-01-02,XRP/USD,0.3741,0.3854,0.368,0.3805,605811.7282,230511.3626
1546300800,2019-01-01,XRP/USD,0.3605,0.3749,0.356,0.374,217194.769,81230.84362
1546214400,2018-12-31,XRP/USD,0.3783,0.3805,0.3561,0.3603,530915.0825,191288.7042
1546128000,2018-12-30,XRP/USD,0.3674,0.3794,0.3606,0.3763,377476.9022,142044.5583
1546041600,2018-12-29,XRP/USD,0.3851,0.3949,0.3621,0.3637,613898.5516,223274.9032
1545955200,2018-12-28,XRP/USD,0.3487,0.3917,0.3445,0.3877,1163309.294,451015.0132
1545868800,2018-12-27,XRP/USD,0.3859,0.3939,0.3422,0.3487,957093.3856,333738.4636
